Branch ID,Branch Name,Customer ID,Balance in May,Salary in May,Salary in June,Sector,Digitally Active
9074,Gurgaon,907472480,241284,82036.56,Y,IT,Yes
9076,Hyderabad,907694928,358219,96719.13,Y,IT,No
9075,Bangalore,907590636,769949,230984.7,Y,IT,Yes
9072,Mumbai Sub-urban,907222150,979966,166594.22,Y,IT,Yes
9076,Hyderabad,907680360,168201,25230.15,Y,IT,No
9075,Bangalore,907530300,681888,218204.16,Y,IT,Yes
9074,Gurgaon,907480283,241620,28994.4,Y,IT,Yes
9071,Mumbai Urban,907128574,548229,186397.86,Y,IT,Yes
9074,Gurgaon,907424754,264185,47553.3,Y,IT,No
9078,Pune,907840694,367030,113779.3,Y,IT,Yes
9073,South Delhi,907370028,864416,103729.92,Y,IT,No
9071,Mumbai Urban,907140890,598598,113733.62,Y,IT,Yes
9074,Gurgaon,907498513,189586,32229.62,Y,IT,Yes
9072,Mumbai Sub-urban,907211797,317032,50725.12,Y,IT,No
9074,Gurgaon,907467466,455163,100135.86,Y,BFSI,Yes
9079,Kolkata,907953727,907640,226910,Y,BFSI,Yes
9076,Hyderabad,907644044,792198,158439.6,Y,BFSI,Yes
9079,Kolkata,907957226,988296,237191.04,Y,BFSI,No
9072,Mumbai Sub-urban,907221259,610316,158682.16,N,BFSI,Yes
9075,Bangalore,907530272,929110,139366.5,N,BFSI,No
9072,Mumbai Sub-urban,907299596,384444,119177.64,Y,BFSI,Yes
9071,Mumbai Urban,907156703,904652,99511.72,Y,BFSI,Yes
9076,Hyderabad,907643471,858595,214648.75,Y,BFSI,No
9073,South Delhi,907348804,140435,25278.3,Y,BFSI,Yes
9078,Pune,907897951,345964,96869.92,Y,BFSI,Yes
9076,Hyderabad,907681882,280998,39339.72,Y,IT,Yes
9072,Mumbai Sub-urban,907283588,265733,66433.25,Y,IT,No
9074,Gurgaon,907432383,228307,70775.17,Y,IT,Yes
9073,South Delhi,907337539,441682,154588.7,Y,IT,No
9073,South Delhi,907355529,606134,200024.22,Y,IT,Yes
9072,Mumbai Sub-urban,907293198,124014,28523.22,Y,IT,Yes
9076,Hyderabad,907623612,742317,207848.76,Y,IT,No
9073,South Delhi,907311009,884357,114966.41,Y,IT,Yes
9076,Hyderabad,907631206,472432,122832.32,Y,IT,Yes
9073,South Delhi,907361338,3892,817.32,Y,IT,Yes
9071,Mumbai Urban,907168276,663507,172511.82,Y,IT,No
9073,South Delhi,907363153,826634,173593.14,Y,IT,Yes
9076,Hyderabad,907613711,415516,108034.16,Y,IT,No
9072,Mumbai Sub-urban,907254448,606484,139491.32,Y,IT,Yes
9072,Mumbai Sub-urban,907243979,150123,45036.9,Y,IT,Yes
9071,Mumbai Urban,907136075,55760,11152,Y,IT,No
9073,South Delhi,907338613,533911,64069.32,Y,IT,Yes
9071,Mumbai Urban,907158004,912214,319274.9,Y,IT,Yes
9074,Gurgaon,907471870,944654,330628.9,Y,IT,Yes
9071,Mumbai Urban,907125831,500360,85061.2,Y,IT,No
9073,South Delhi,907362210,909216,254580.48,Y,IT,Yes
9072,Mumbai Sub-urban,907293294,653231,117581.58,Y,IT,No
9076,Hyderabad,907695921,733615,161395.3,Y,Consulting,Yes
9077,Chennai,907764642,265537,53107.4,Y,Consulting,Yes
9076,Hyderabad,907666610,909018,299975.94,Y,Consulting,No
9076,Hyderabad,907671434,395522,118656.6,Y,Consulting,Yes
9078,Pune,907867272,26274,8407.68,Y,Consulting,Yes
9079,Kolkata,907926592,599446,77927.98,Y,Consulting,Yes
9075,Bangalore,907521721,534127,53412.7,Y,Consulting,No
9076,Hyderabad,907649814,282506,45200.96,Y,Consulting,Yes
9076,Hyderabad,907686335,374012,67322.16,Y,Consulting,No
9078,Pune,907828149,785394,94247.28,Y,Consulting,Yes
9077,Chennai,907775660,907692,272307.6,Y,Consulting,Yes
9078,Pune,907815698,721986,101078.04,Y,Consulting,No
9073,South Delhi,907373835,553859,144003.34,Y,Consulting,Yes
9073,South Delhi,907325831,217873,61004.44,Y,Consulting,Yes
9076,Hyderabad,907699928,200681,36122.58,Y,Consulting,Yes
9079,Kolkata,907999545,61487,17216.36,Y,Consulting,No
9074,Gurgaon,907449314,81277,17068.17,Y,Consulting,Yes
9073,South Delhi,907398843,34355,3779.05,Y,Consulting,No
9072,Mumbai Sub-urban,907279092,753934,165865.48,Y,Consulting,Yes
9074,Gurgaon,907478130,273191,40978.65,Y,Consulting,Yes
9073,South Delhi,907332364,118187,26001.14,Y,Consulting,No
9071,Mumbai Urban,907147362,331163,79479.12,Y,Consulting,Yes
9079,Kolkata,907927110,473690,47369,Y,Consulting,Yes
9076,Hyderabad,907657844,891345,285230.4,Y,Consulting,Yes
9072,Mumbai Sub-urban,907277976,783781,180269.63,Y,Consulting,No
9073,South Delhi,907386986,394841,118452.3,Y,Consulting,Yes
9073,South Delhi,907396846,686868,75555.48,Y,Consulting,No
9071,Mumbai Urban,907113663,579057,185298.24,Y,Consulting,Yes
9074,Gurgaon,907458984,15722,3773.28,Y,Consulting,Yes
9074,Gurgaon,907415943,504576,116052.48,Y,Consulting,No
9075,Bangalore,907525979,846517,253955.1,Y,Consulting,Yes
9077,Chennai,907736547,138109,24859.62,Y,Consulting,Yes
9079,Kolkata,907920688,389634,136371.9,Y,Consulting,Yes
9073,South Delhi,907341157,847813,245865.77,Y,Consulting,No
9071,Mumbai Urban,907168041,161947,48584.1,Y,Consulting,Yes
9078,Pune,907884428,784571,203988.46,Y,Consulting,No
9076,Hyderabad,907665700,723858,79624.38,Y,Consulting,Yes
9071,Mumbai Urban,907141506,911357,100249.27,Y,Consulting,Yes
9079,Kolkata,907935788,790871,197717.75,Y,Consulting,No
9077,Chennai,907747531,945140,236285,Y,Consulting,Yes
9073,South Delhi,907324750,119514,19122.24,Y,Consulting,Yes
9074,Gurgaon,907453565,927405,222577.2,Y,Consulting,Yes
9078,Pune,907866440,35308,10945.48,Y,Consulting,No
9074,Gurgaon,907496831,905185,135777.75,Y,Consulting,Yes
9074,Gurgaon,907430086,38506,11551.8,Y,Consulting,No
9074,Gurgaon,907488566,770953,146481.07,Y,Consulting,Yes
9078,Pune,907876260,125715,15085.8,Y,Consulting,Yes
9077,Chennai,907751452,386924,123815.68,Y,Consulting,No
9077,Chennai,907721510,75931,15186.2,Y,Consulting,Yes
9079,Kolkata,907986141,272159,65318.16,Y,IT,Yes
9079,Kolkata,907945483,9851,985.1,Y,IT,Yes
9076,Hyderabad,907656284,772592,84985.12,Y,IT,No
9078,Pune,907866288,358603,50204.42,Y,IT,Yes
9071,Mumbai Urban,907128620,363826,43659.12,Y,IT,No
